model	CER	WER
epoch_00_valCER_0.8256	0.8536782812506623	0.9777970670199644
epoch_01_valCER_0.2733	0.2706928485752673	0.8068893051304308
epoch_02_valCER_0.2067	0.20525644340274393	0.6747909909086756
epoch_03_valCER_0.1779	0.17726615777806976	0.6036136872401663
epoch_04_valCER_0.1614	0.1619571160342292	0.5567636712503997
epoch_05_valCER_0.1506	0.1507932135000996	0.5216090273653433
epoch_06_valCER_0.1430	0.1427953835525284	0.49648225135913016
epoch_07_valCER_0.1363	0.1364589999957616	0.4761524053177395
epoch_08_valCER_0.1312	0.1317374406096491	0.4597286308191329
epoch_09_valCER_0.1275	0.1281517680417396	0.4481017862853488
epoch_10_valCER_0.1238	0.12402782075027867	0.4344419571474257
epoch_11_valCER_0.1207	0.12080664917627014	0.423728813559322
epoch_12_valCER_0.1178	0.11840772403036379	0.414089268582393
epoch_13_valCER_0.1155	0.11584350192210699	0.4059801726894787
epoch_14_valCER_0.1132	0.1132453727446501	0.39780254922563846
epoch_15_valCER_0.1109	0.11126604758009485	0.39058431175476266
epoch_16_valCER_0.1093	0.10947744967979012	0.38409703504043125
epoch_17_valCER_0.1077	0.10781600328898572	0.3795970578829549
epoch_18_valCER_0.1060	0.10625203972213157	0.3738407419251679
epoch_19_valCER_0.1044	0.10480675089747774	0.36858696148750514
epoch_20_valCER_0.1033	0.10353947418612439	0.36502352779935127
